frac Monk1Mean Monk1STD Monk3Mean Monk3STD
2.999999999999999889e-01 2.278942129629630831e-01 4.072373973914329010e-02 8.469236111111111409e-02 5.663685433513532957e-02
3.499999999999999778e-01 2.156590277777777898e-01 4.130442939070937125e-02 7.025208333333343713e-02 4.850795761632219205e-02
3.999999999999999667e-01 2.026481481481481328e-01 4.232472025240621716e-02 6.051597222222226957e-02 4.245855517169760951e-02
4.499999999999999556e-01 1.919548611111111525e-01 4.322180168990630983e-02 5.339189814814815360e-02 3.825688190013352974e-02
4.999999999999999445e-01 1.814775462962961994e-01 4.417487070455299036e-02 4.844282407407407565e-02 3.540952593152564554e-02
5.499999999999999334e-01 1.698203703703704548e-01 4.581403132657415472e-02 4.429560185185177357e-02 3.212987024188777158e-02
5.999999999999998668e-01 1.621405092592592689e-01 4.667802704662676189e-02 4.239351851851858033e-02 3.104982216726297900e-02
6.499999999999999112e-01 1.550243055555554639e-01 4.736946168315802480e-02 4.231412037037041163e-02 3.055035273377952609e-02
6.999999999999999556e-01 1.495791666666668185e-01 4.865707861669580497e-02 4.303148148148139285e-02 3.013385453202884964e-02
7.499999999999998890e-01 1.444115740740741227e-01 4.785656446943527265e-02 4.470578703703709245e-02 3.050416497593731388e-02
7.999999999999998224e-01 1.414958333333333762e-01 4.832981184622554133e-02 4.837754629629631431e-02 3.145366751894335816e-02
8.499999999999998668e-01 1.400759259259258815e-01 4.802672524177094976e-02 5.434444444444430644e-02 3.225943912863916269e-02
8.999999999999999112e-01 1.428518518518517855e-01 4.684049690391596521e-02 6.092824074074065788e-02 3.202764920458061465e-02
